kód;"ISO 3166-1";"ISO 3166-2";názov;eu;"platné od";"platné do"
004;AF;AFG;"Afganská islamská republika";0;2010-01-01;
248;AX;ALA;Alandy;0;2010-01-01;
008;AL;ALB;"Albánska republika";0;2010-01-01;
012;DZ;DZA;"Alžírska demokratická ľudová republika";0;2010-01-01;
020;AD;AND;"Andorrské kniežatstvo";0;2010-01-01;
024;AO;AGO;"Angolská republika";0;2010-01-01;
660;AI;AIA;Anguilla;0;2010-01-01;
010;AQ;ATA;Antarktída;0;2010-01-01;
028;AG;ATG;"Antigua a Barbuda";0;2010-01-01;
032;AR;ARG;"Argentínska republika";0;2010-01-01;
051;AM;ARM;"Arménska republika";0;2010-01-01;
533;AW;ABW;Aruba;0;2010-01-01;
036;AU;AUS;"Austrálsky zväz";0;2010-01-01;
031;AZ;AZE;"Azerbajdžanská republika";0;2010-01-01;
044;BS;BHS;"Bahamské spoločenstvo";0;2010-01-01;
048;BH;BHR;"Bahrajnské kráľovstvo";0;2010-01-01;
050;BD;BGD;"Bangladéšska ľudová republika";0;2010-01-01;
052;BB;BRB;Barbados;0;2010-01-01;
056;BE;BEL;"Belgické kráľovstvo";1;2010-01-01;
084;BZ;BLZ;Belize;0;2010-01-01;
204;BJ;BEN;"Beninská republika";0;2010-01-01;
060;BM;BMU;Bermudy;0;2010-01-01;
064;BT;BTN;"Bhutánske kráľovstvo";0;2010-01-01;
112;BY;BLR;"Bieloruská republika";0;2010-01-01;
068;BO;BOL;"Bolívijský mnohonárodný štát";0;2010-01-01;
535;BQ;BES;"Bonaire, Svätý Eustach a Saba";0;2014-01-01;
070;BA;BIH;"Bosna a Hercegovina";0;2010-01-01;
072;BW;BWA;"Botswanská republika";0;2010-01-01;
074;BV;BVT;"Bouvetov ostrov";0;2010-01-01;
076;BR;BRA;"Brazílska federatívna republika";0;2010-01-01;
086;IO;IOT;"Britské indickooceánske územie";0;2010-01-01;
092;VG;VGB;"Britské Panenské ostrovy";0;2010-01-01;
096;BN;BRN;"Brunejsko-darussalamský štát";0;2010-01-01;
100;BG;BGR;"Bulharská republika";1;2010-01-01;
854;BF;BFA;"Burkina Faso";0;2010-01-01;
108;BI;BDI;"Burundská republika";0;2010-01-01;
184;CK;COK;"Cookove ostrovy";0;2010-01-01;
531;CW;CUW;Curacao;0;2014-01-01;
196;CY;CYP;"Cyperská republika";1;2010-01-01;
148;TD;TCD;"Čadská republika";0;2010-01-01;
203;CZ;CZE;"Česká republika";1;2010-01-01;
499;ME;MNE;"Čierna Hora";0;2010-01-01;
152;CL;CHL;"Čilská republika";0;2010-01-01;
156;CN;CHN;"Čínska ľudová republika";0;2010-01-01;
158;TW;TWN;"Čínska republika";0;2010-01-01;
208;DK;DNK;"Dánske kráľovstvo";1;2010-01-01;
678;ST;STP;"Demokratická republika Svätého Tomáša a Princovho ostrova";0;2010-01-01;
212;DM;DMA;"Dominické spoločenstvo";0;2010-01-01;
214;DO;DOM;"Dominikánska republika";0;2010-01-01;
262;DJ;DJI;"Džibutská republika";0;2010-01-01;
818;EG;EGY;"Egyptská arabská republika";0;2010-01-01;
218;EC;ECU;"Ekvádorská republika";0;2010-01-01;
232;ER;ERI;"Eritrejský štát";0;2010-01-01;
233;EE;EST;"Estónska republika";1;2010-01-01;
231;ET;ETH;"Etiópska federatívna demokratická republika";0;2010-01-01;
234;FO;FRO;"Faerské ostrovy";0;2010-01-01;
238;FK;FLK;"Falklandské ostrovy";0;2010-01-01;
659;KN;KNA;"Federácia Svätého Krištofa a Nevisu";0;2010-01-01;
242;FJ;FJI;"Fidžijská republika";0;2010-01-01;
608;PH;PHL;"Filipínska republika";0;2010-01-01;
246;FI;FIN;"Fínska republika";1;2010-01-01;
254;GF;GUF;"Francúzska Guyana";0;2010-01-01;
258;PF;PYF;"Francúzska Polynézia";0;2010-01-01;
250;FR;FRA;"Francúzska republika";1;2010-01-01;
260;TF;ATF;"Francúzske južné a antarktické územia";0;2010-01-01;
266;GA;GAB;"Gabonská republika";0;2010-01-01;
270;GM;GMB;"Gambijská republika";0;2010-01-01;
288;GH;GHA;"Ghanská republika";0;2010-01-01;
292;GI;GIB;Gibraltár;0;2010-01-01;
300;GR;GRC;"Grécka republika";1;2010-01-01;
308;GD;GRD;Grenada;0;2010-01-01;
304;GL;GRL;Grónsko;0;2010-01-01;
268;GE;GEO;Gruzínsko;0;2010-01-01;
312;GP;GLP;Guadeloup;0;2010-01-01;
316;GU;GUM;"Guamské teritórium";0;2010-01-01;
320;GT;GTM;"Guatemalská republika";0;2010-01-01;
831;GG;GGY;Guernsey;0;2010-01-01;
