kód;názov;"Kód ŠÚ";"kód okresu";"kód krajiny";"platné od";"platné do"
972400025;"A Coruna";;;724;2013-02-19;
975600040;Aadorf;;;756;2015-02-12;
927600233;Aachen;;;276;2013-04-03;
920800007;Aalborg;;;208;2016-04-19;
927600027;Aalen;;;276;2012-10-16;
905600045;Aalst;;;56;2017-10-06;
975600051;Aarau;;;756;2016-08-02;
920800009;Aarhus;;;208;2017-10-17;
936400012;Abadan;;;364;2013-09-06;
934800089;Abaujszántó;;;348;2013-04-24;
925000324;Abbeville;;;250;2015-10-22;
958600029;Abbottabad;;;586;2017-06-08;
952800018;Abcoude;;;528;2014-05-09;
968200001;Abdulrahman;;;682;2012-05-25;
972400305;Abegondo;;;724;2016-04-19;
511226;Ábelová;SK0326511226;606;703;2010-01-01;
982600004;Aberdeen;;;826;2010-01-01;
920302155;Abertamy;;;203;2015-12-05;
982600086;Aberystwyth;;;826;2013-03-07;
920400005;"Abomey Calavi";;;204;2014-03-17;
942200007;"Abou Elaswad";;;422;2013-03-01;
557757;Abovce;SK0329557757;609;703;2010-01-01;
503673;Abrahám;SK0212503673;202;703;2010-01-01;
519014;Abrahámovce;SK0411519014;701;703;2010-01-01;
523399;Abrahámovce;SK0413523399;703;703;2010-01-01;
512044;Abramová;SK0319512044;509;703;2010-01-01;
524158;Abranovce;SK0417524158;707;703;2010-01-01;
962000169;Abrantes;;;620;2015-09-28;
978400002;"Abu Dhabi";;;784;2013-03-11;
937600154;"Abu Ghosh";;;376;2016-08-24;
937600121;"Abu Snan";;;376;2014-07-09;
956200001;Abuja;;;562;2013-04-17;
956600010;Abuja;;;566;2015-09-02;
928800006;Accra;;;288;2015-04-20;
938000331;Acireale;;;380;2016-09-16;
979200193;Acıgöl;;;792;2016-03-09;
938000038;"Acquaviva Delle Fonti";;;380;2013-03-04;
938000262;"Acqui Terme";;;380;2015-10-01;
937600157;Acre;;;376;2016-09-28;
934800060;Ács;;;348;2013-01-09;
976000022;"Ad Darbasiyah";;;760;2016-12-16;
903600012;Adalaide;;;36;2014-09-23;
935600144;Adambakkam;;;356;2017-08-09;
920301061;Adamov;;;203;2014-12-09;
920301099;"Adamov okr. Blansko";;;203;2015-02-13;
505838;"Adamovské Kochanovce";SK0229505838;309;703;2010-01-01;
961600546;Adamów;;;616;2014-09-30;
937200040;Adamstown;;;372;2013-04-12;
979200046;Adana;;;792;2013-03-06;
923100006;"Addis Ababa";;;231;2015-12-07;
903600002;Adelaide;;;36;2012-10-16;
988700005;Aden;;;887;2015-03-12;
923200002;"Adi Angefom";;;232;2000-06-01;
520012;Adidovce;SK0412520012;702;703;2010-01-01;
979200058;Adiyaman;;;792;2013-03-21;
975600054;Adliswil;;;756;2016-09-16;
938000369;Adrano;;;380;2016-12-20;
928800009;Adukrom;;;288;2016-08-10;
980400752;Adzhamka;;;804;2017-05-24;
900400026;Afganistan;;;4;2015-10-02;
957800238;Afjord;;;578;2014-06-11;
979200069;Afsin;;;792;2013-04-29;
937600030;Afula;;;376;2013-03-14;
979200059;Afyonkarahisar;;;792;2013-03-21;
981800005;Aga;;;818;2015-03-11;
950400005;Agadir;;;504;2014-03-12;
956600015;Agbor;;;566;2016-11-10;
943400021;Agelat;;;434;2013-03-18;
930000211;"Agia Paraskevi";;;300;2016-02-22;
930000176;"Agioi Anargyroi";;;300;2014-08-27;
930000221;"Agios Ioannis Rentis";;;300;2017-09-22;
930000005;"Agios Nikolaos";;;300;2013-02-01;
930000226;"Agios Vasileios";;;300;2017-10-17;
923200001;Agordat;;;232;2013-09-06;
938000344;AGORDO;;;380;2016-09-28;
934800243;Agostyán;;;348;2016-10-10;
935600184;Agra;;;356;2017-10-03;
979200085;Agri;;;792;2013-09-17;
938000212;Agrigento;;;380;2015-01-20;
930000006;Agrinio;;;300;2013-02-01;
962000203;"Água de Pena";;;620;2016-09-21;
962000190;Agualva-Cacém;;;620;2016-05-19;
927600579;Ahaus;;;276;2014-07-29;
937600119;Ahituv;;;376;2014-07-01;
927600945;Ahlen;;;276;2016-10-07;
935600005;Ahmedabad;;;356;2013-03-06;
936400004;Ahvaz;;;364;2013-02-01;
982600106;Acharacle;;;826;2013-03-11;
930000083;Acharnes;;;300;2013-03-19;
927600719;Achim;;;276;2015-07-21;
979200020;Aidyn;;;792;2013-02-19;
930000081;Aigaleo;;;300;2013-03-19;
930000206;Aigio;;;300;2015-10-01;
927600219;Aichach;;;276;2013-03-19;
939200019;Aichi;;;392;2013-11-20;
972400341;Aínsa;;;724;2016-09-16;
936000001;"Air Bangis";;;360;2013-03-01;
942200010;Aitou;;;422;2013-04-23;
925000099;Aix-en-Provence;;;250;2013-05-17;
942800021;Aizkraukle;;;428;2015-01-15;
942800036;Aizpute;;;428;2017-10-03;
925000389;Ajaccio;;;250;2016-10-07;
912400007;Ajax;;;124;2013-01-22;
934800104;Ajka;;;348;2014-02-13;
935600041;Ajmer;;;356;2014-10-22;
919600027;Akaki;;;196;2017-09-25;
901200012;Akbou;;;12;2014-05-22;
979200226;Akçakoca;;;792;2017-02-14;
979200186;Akdağmadeni;;;792;2016-02-09;
979200180;Akdeniz;;;792;2015-10-01;
975200026;Akersberga;;;752;2013-03-19;
957800105;Akershus;;;578;2013-09-13;
926800020;Akhaltsikhe;;;268;2017-10-03;
979200228;Akhisar;;;792;2017-02-15;
972900016;Akhisar;;;729;2016-11-09;
980400793;Akimovka;;;804;2017-08-28;
937600094;Akko;;;376;2013-05-16;
939800053;Akkol;;;398;2014-05-05;
944000044;Akmene;;;440;2015-01-19;
939800057;Akmola;;;398;2014-11-05;
972800004;Akobo;;;728;2015-10-08;
935200005;Akranes;;;352;2013-09-13;
930000088;Akrotiri;;;300;2013-03-19;
939800011;Aksaj;;;398;2013-01-11;
979200135;Aksaray;;;792;2014-09-29;
964300173;Aksay;;;643;2015-09-25;
957800346;Aksdal;;;578;2016-09-11;
979200110;Aksehir;;;792;2014-03-03;
939800014;Aktav;;;398;2013-02-19;
939800015;Aktobe;;;398;2013-02-19;
956600005;Akure;;;566;2014-10-01;
935200009;Akureyri;;;352;2013-11-20;
957800117;Al;;;578;2013-11-27;
941400006;"Al Ahmadi";;;414;2013-11-20;
968200060;"Al Ahsa";;;682;2013-09-06;
978400003;"Al Ain";;;784;2014-09-26;
968200008;"Al Baha";;;682;2013-02-26;
968200021;"Al Hassa, Al Hufuf";;;682;2013-02-26;
976000004;"Al Chadra";;;760;2013-01-07;
968200065;"Al Chuwejledijja";;;682;2013-09-06;
968200032;"Al Jubail";;;682;2013-03-11;
972900001;"Al Kawahla";;;729;2013-07-17;
943400029;"Al Khadra";;;434;1998-09-08;
968200059;"Al Khadra";;;682;2013-06-21;
968200083;"Al Mithnab";;;682;2016-06-29;
968200073;"Al Mubarraz";;;682;2014-02-14;
968200043;"Al Niariyah";;;682;2013-03-19;
988700001;"Al Shuaib";;;887;2013-07-02;
968200009;"Al Yamama";;;682;2013-02-26;
968200047;Al-assaim;;;682;2013-03-19;
968200019;Al-badaya;;;682;2013-02-26;
968200033;Al-Dammam;;;682;2013-03-11;
968200034;Al-Dhahran;;;682;2013-03-11;
976000001;Al-Haffa;;;760;2010-01-01;
968200045;Al-Hssan;;;682;2013-03-19;
927500005;Al-Khalil;;;275;2013-04-05;
968200015;Al-Kharj;;;682;2013-02-26;
968200036;Al-Madinah;;;682;2013-03-11;
968200082;Al-Maznab;;;682;2016-06-29;
968200037;Al-Qatif;;;682;2013-03-11;
941400008;Al-Qurain;;;414;2014-04-10;
927500024;Al-Sawahreh;;;275;2017-10-10;
968200053;Al-Sharqia;;;682;2013-03-19;
941400004;Al-Shuhada;;;414;2013-03-11;
943400030;Al-Zawia;;;434;2013-09-13;
968200061;Al-Zawyia;;;682;2013-09-06;
952800016;"AL, Arnhem";;;528;2013-11-27;
968200062;Alaassa;;;682;2013-09-06;
984000009;Alabama;;;840;2010-01-01;
972900010;Aladar;;;729;2015-12-07;
943400014;Alagelat;;;434;2013-03-11;
968200011;Alahsa;;;682;2013-02-26;
936400040;Alain;;;364;2012-09-01;
924600030;Alajärvi;;;246;2013-11-18;
979200111;Alanya;;;792;2014-03-03;
979200168;Alaşehir;;;792;2015-07-09;
972400138;Álava;;;724;2014-04-04;
938000009;Alba;;;380;2012-05-25;
972400050;Albacete;;;724;2013-03-15;
968200072;Albadaya;;;682;2014-01-23;
964200025;Albaiulia;;;642;2012-10-16;
972400178;"Albanchez de Magina";;;724;2014-10-08;
900800010;Albania;;;8;2014-08-04;
938000014;Albenga;;;380;2012-10-19;
962000096;"Albergaria a Velha";;;620;2013-10-11;
927600411;Albershausen;;;276;2013-09-25;
925000476;Albi;;;250;2017-10-06;
943400022;Albidah;;;434;2013-03-18;
972400377;Alboraya;;;724;2017-02-24;
972400086;Albox;;;724;2013-09-13;
920300288;Albrechtice;;;203;2013-01-11;
920302362;"Albrechtice nad Orlicí";;;203;2017-10-10;
920301100;"Albrechtice okr. Karviná";;;203;2015-02-13;
927600947;Albstadt;;;276;2016-10-14;
962000002;Albufeira;;;620;2012-10-16;
962000175;Alcabideche;;;620;2015-11-26;
972400213;"Alcalá de Henares";;;724;2014-11-11;
972400128;"Alcala La Real";;;724;2014-02-14;
972400344;Alcalalí;;;724;2016-09-16;
938000112;Alcamo;;;380;2014-02-14;
972400171;"Alcazar de San Juan";;;724;2012-09-01;
962000032;Alcobaca;;;620;2013-03-04;
972400132;Alcobendas;;;724;2014-03-06;
972400087;Alcoy;;;724;2013-09-13;
972400057;Alcúdia;;;724;2013-04-03;
962000113;"Aldeia das Sobreiras";;;620;2014-05-19;
982600087;Aldershot;;;826;2013-03-07;
904000062;Aldrans;;;40;2013-03-19;
968800079;Aleksandovac;;;688;2014-04-04;
939800052;Alekseevka;;;398;2014-05-05;
968800173;Aleksinac;;;688;2017-10-03;
500020;Alekšince;SK0233500020;403;703;2010-01-01;
925000285;Alencon;;;250;2015-04-20;
962000088;Alenquer;;;620;2013-09-25;
976000003;Aleppo;;;760;2012-10-16;
964200003;Aleșd;;;642;2010-01-01;
957800017;Ålesund;;;578;2013-03-04;
984000136;Alexandria;;;840;2016-04-06;
981800013;Alexandria;;;818;2017-10-25;
964200116;Alexandria;;;642;2015-08-13;
930000007;Alexandroupoli;;;300;2013-02-01;
962000118;Alfarelos;;;620;2014-09-29;
982600147;Alfesford;;;826;2013-03-28;
927600555;Alfter;;;276;2014-04-14;
972400242;Algaida;;;724;2015-03-02;
957800276;Algard;;;578;2014-11-24;
