Odbor - kod,Odbor stred. školy
3740M00,elektrotechnika v doprave a spojoch
3740M01,elektrotechnika v doprave a spojoch - elektrická trakcia a energetika v doprave
3740M02,elektrotechnika v doprave a spojoch - silnoprúdová elektrotechnika v doprave
3740M03,elektrotechnika v doprave a spojoch - údržba a oprava vozidiel
3740M04,elektrotechnika v doprave a spojoch - oznamovacia technika v doprave a spojoch
3740M05,elektrotechnika v doprave a spojoch - zabezpečovacia technika v doprave
3740M06,elektrotechnika v doprave a spojoch - telekomunikačná technika
3740M07,elektrotechnika v doprave a spojoch - rádiokomunikačná technika
3744M00,cestná doprava
3744M01,cestná doprava - prevádzka a údržba vozidiel
3744M02,cestná doprava - doprava a preprava
3759K01,komerčný pracovník v doprave - cestná a mestská doprava
3759K02,komerčný pracovník v doprave - železničná doprava
3759K03,komerčný pracovník v doprave - vodná doprava
3759K05,komerčný pracovník v doprave - letecká doprava
3759K06,komerčný pracovník v doprave - zasielateľstvo a colná deklarácia
3759K07,komerčný pracovník v doprave - dopravná logistika
3760M01,prevádzka a ekonomika dopravy - železničná doprava
3760M02,prevádzka a ekonomika dopravy - železničná preprava
3760M03,prevádzka a ekonomika dopravy - colný deklarant
3760M04,prevádzka a ekonomika dopravy - zasielateľstvo
3760M05,prevádzka a ekonomika dopravy - cestná doprava a preprava
3760M06,prevádzka a ekonomika dopravy - logistika v doprave
3767M00,dopravná akadémia
3772M00,doprava
3794M00,poštové a peňažné služby
4210M18,agropodnikanie - kynológia
4211M03,"záhradníctvo-ovocinárstvo, vinohradníctvo a zeleninárstvo"
4211M04,záhradníctvo - šľachtiteľstvo a semenárstvo
4211M05,záhradníctvo - zeleninárstvo a kvetinárstvo
4219M03,lesníctvo - lesnícke služby
4553K00,podnikateľ/podnikateľka pre rozvoj vidieka
5358M00,zubný asistent/zubná asistentka
6317M07,obchodná akadémia - bankovníctvo
6323K01,hotelová akadémia - hotelový manažment
6323K02,hotelová akadémia - gastronomický manažment
6325M00,ekonomické lýceum
6328M00,ekonomické a obchodné služby
6343M00,športový manažment
6352M01,obchod a podnikanie - podnikanie v obchode
6352M02,obchod a podnikanie - podnikanie v turistike a cestovnom ruchu
6352M03,obchod a podnikanie - sekretárske práce
6423L00,starostlivosť o ruky a nohy
6442K05,obchodný pracovník - rozličný tovar
6857M00,právo a podnikanie
7235M00,informačné a digitálne technológie
7237M02,informačné systémy a služby - archívnictvo
7237M05,informačné systémy a služby - informatická výchova detí a mládeže
2490K00,manažér výroby a kontroly v automobilovom priemysle
2490K01,manažér výroby a kontroly v automobilovom priemysle - automobilové diely a príslušenstvo
2490K02,manažér výroby a kontroly v automobilovom priemysle - autoelektronika
2694M00,informačné a sieťové technológie
2958K00,kontrolór potravín
3964M00,ochrana osôb a majetku pred požiarom
3968M00,logistika
4210M02,agropodnikanie - poľnohospodárske služby
4246M00,bioenergetika
6336M00,informačné technológie a informačné služby v cestovnom ruchu
6337M00,informačné technológie a informačné služby v obchode
6425K00,kaderník - vizážista/kaderníčka - vizážistka
7902J77,gymnázium - šport
8290M00,masmediálna tvorba
7669M00,pedagogické lýceum
8231M01,tvarovanie priemyselných výrobkov - tvarovanie strojov a nástrojov
8231M02,tvarovanie priemyselných výrobkov - tvarovanie výrobkov z plastov
8233M05,výtvarné spracúvanie kovov a drahých kameňov - brúsenie a rytie drahých kameňov
8234M01,výtvarné spracúvanie keramiky a porcelánu - modelárstvo
8234M02,výtvarné spracúvanie keramiky a porcelánu - zdobenie
8235M01,výtvarné spracúvanie skla-modelovanie lisovaného skla
8235M05,výtvarné spracúvanie skla - rytie skla
8235M06,výtvarné spracúvanie skla - tvorba a výroba sklených figúrok
8235M08,výtvarné spracúvanie skla - vitrážové sklo
8235M11,výtvarné spracúvanie skla - výroba sklenej vitráže
8245M07,konzervátorstvo a reštaurátorstvo - maliarske techniky
8245M08,konzervátorstvo a reštaurátorstvo - textil
8264M02,"konzervátorské a reštaurátorské práce - textil, koža"
8264M04,konzervátorské a reštaurátorské práce - kov
8283M00,reklamná tvorba
8288M00,scénické výtvarníctvo
8288M01,scénické výtvarníctvo - kostýmová tvorba
8288M02,scénické výtvarníctvo - maľba a dekoračná tvorba
8288M03,scénické výtvarníctvo - štukatérska tvorba
8288M04,scénické výtvarníctvo - maskérska tvorba
8288M05,scénické výtvarníctvo - tvarovanie dreva
8288M06,scénické výtvarníctvo - tvorba a konštrukcia scény
8289M00,keramický dizajn
8294M00,obrazová a zvuková tvorba
8294M01,"obrazová a zvuková tvorba - kamera, zvuk, strih"
8294M02,obrazová a zvuková tvorba - umelecká produkcia
8294M03,obrazová a zvuková tvorba - virtuálna grafika
8295M00,tvorba vitrážového skla a smaltu
8296M00,grafický dizajn
8503K02,umeleckoremeselné spracúvanie kovov - kovolejecké a cizelérske práce
9245M00,ochrana osôb a majetku
2940M02,potravinárstvo - priemyselná výroba krmív a mlynárstvo
2951M00,výživa a šport
2952L00,výroba potravín
3125M02,odevníctvo - konštrukcia odevov
3158M00,styling a marketing
3247K00,technik/technička obuvníckej výroby
3656K01,operátor stavebnej výroby - murované konštrukcie
3656K02,operátor stavebnej výroby - betónové konštrukcie
3656K03,operátor stavebnej výroby - kvalita stavebných prác
0,študijný odbor na zahraničnej škole (len pre PK na VŠ)
3693K00,technik/technička energetických zariadení budov
3779M00,súkromný pilot
4238M00,agrolesníctvo
4239M00,floristika
6422K00,telová kozmetika
8284M00,dizajn a tvarovanie skla
8299M00,dizajn interiéru
8513K00,umeleckoremeselné spracúvanie kože
2234M01,zlievačstvo - prevádzka zlievarní
2234M02,zlievačstvo - netradičné spôsoby zlievačskej výroby
2234M03,zlievačstvo - riadenie priemyselných podnikov
2235M01,hutníctvo - výroba kovov
2235M02,hutníctvo - tvárnenie kovov
2235M03,hutníctvo - kovové a nekovové materiály
2235M04,hutníctvo - ekológia v hutníctve
2235M05,hutníctvo - riadenie priemyselných podnikov
2235M06,hutníctvo - tepelná energetika
2235M07,hutníctvo - výskyt a spracúvanie druhotných surovín
2235M08,hutníctvo - keramické materiály
2235M09,hutníctvo - výroba neželezných kovov
2262K01,hutník operátor - pre metalurgiu
2262K02,hutník operátor - pre tvárnenie kovov
2381M01,strojárstvo - stavba strojov
2381M02,strojárstvo - technický manažment
2381M03,strojárstvo - diagnostika a servis
2381M04,strojárstvo - dopravné zariadenia
2381M05,strojárstvo - technika prostredia
2381M06,strojárstvo - konštrukcia a oprava lodí
2381M07,strojárstvo - príprava a riadenie výroby
2381M11,strojárstvo - zlievačská výroba
2381M13,strojárstvo - grafické systémy
2381M15,strojárstvo - obnoviteľné zdroje energie
2411K01,mechanik nastavovač - obrábacie stroje a linky
2411K02,mechanik nastavovač - stavebné stroje
2411K03,mechanik nastavovač - linky na výrobu stavebných látok
2675M01,elektrotechnika - elektrické stroje a prístroje
2153L00,baníctvo
2157M00,"geológia, geotechnika a environmentalistika"
2234M00,zlievačstvo
2235M00,hutníctvo
2262K00,hutník operátor/hutníčka operátorka
2381M00,strojárstvo
2387M00,mechatronika
2411K00,mechanik nastavovač/mechanička nastavovačka
2412K00,mechanik číslicovo riadených strojov
2413K00,mechanik/mechanička strojov a zariadení
2414L00,strojárstvo
2414L01,"strojárstvo - výroba, montáž a oprava prístrojov, strojov a zariadení"
2414L02,strojárstvo - obrábanie materiálov
2414L03,"strojárstvo - tvárnenie, odlievanie a úprava kovov"
2414L04,strojárstvo - podnikanie a služby
2415L00,plynárenstvo
2417L00,prevádzka strojov a zariadení
2418K00,mechanik požiarnej techniky
2419K00,operátor/operátorka ekologických zariadení
2426K00,programátor/programátorka obrábacích a zváracích strojov a zariadení
2675L00,elektrotechnika
2675L01,elektrotechnika - energetika
2675L02,elektrotechnika - výroba a prevádzka strojov a zariadení
2675L03,elektrotechnika - elektronické zariadenia
2675M00,elektrotechnika
2676L00,zariadenia oznamovacej techniky
2679K00,mechanik - mechatronik/mechančika - mechatrončika
2682K00,mechanik/mechanička počítačových sietí
2697K00,mechanik elektrotechnik/mechanička elektrotechnička
2737L00,sklársky a keramický priemysel
2840M00,biotechnológia a farmakológia
2841M00,technológia ochrany a tvorby životného prostredia
2848M00,chemická informatika
2849M00,kontrolné analytické metódy
2859K00,operátor/operátorka gumárskej a plastikárskej výroby
2860K00,chemik operátor/chemička operátorka
2880K00,chémia a životné prostredie
2885M00,chemická výroba
2888K00,operátor/operátorka farmaceutickej výroby
2890L00,chemický a farmaceutický priemysel
2940M00,potravinárstvo
2940M01,potravinárstvo - výroba cukru a cukroviniek
2940M03,potravinárstvo - spracúvanie múky
2940M04,potravinárstvo - kvasná technológia
2940M05,potravinárstvo - spracúvanie mlieka
2940M06,potravinárstvo - spracúvanie mäsa
2940M08,potravinárstvo - podnikanie v potravinárstve
2940M09,potravinárstvo - potravinár/potravinárka - kvalitár/kvalitárka
2949M00,"výživa, ochrana zdravia a hodnotenie potravín"
2960K00,operátor/operátorka potravinárskej výroby
2982L00,potravinárska výroba
2982L01,potravinárska výroba - mäsová a údenárska výroba
2982L02,potravinárska výroba - pekárska a cukrárska výroba
2982L04,potravinárska výroba - mliekarenská výroba
2982L06,potravinárska výroba - mlynárska a cestovinárska výroba
2982L07,potravinárska výroba - spracúvanie cukru a perníka-špeciálne techniky
2982L08,"potravinárska výroba - výroba piva, sladu, nealkoholických nápojov a spracovanie minerálnych vôd"
2982L09,"potravinárska výroba - liehovarnícka výroba, výroba vína a nealkoholických nápojov"
3125L00,odevníctvo
3125M00,odevníctvo
