"Kód obce";PSČ;"Doručovacia pošta";"platné od";"platné do"
511226;98513;Ábelová;2010-01-01;
511536;98513;Ábelová;2010-01-01;
511757;98513;Ábelová;2010-01-01;
503673;92545;Abrahám;2010-01-01;
503789;92545;Abrahám;2010-01-01;
500020;95122;Alekšince;2010-01-01;
503029;94123;Andovce;2010-01-01;
503649;94123;Andovce;2010-01-01;
500046;95134;Báb;2010-01-01;
528111;07661;Bačkov;2010-01-01;
528315;07661;Bačkov;2010-01-01;
528455;07661;Bačkov;2010-01-01;
543781;07661;Bačkov;2010-01-01;
543934;07661;Bačkov;2010-01-01;
508454;97632;Badín;2010-01-01;
507806;90084;Báhoň;2010-01-01;
555487;90084;Báhoň;2010-01-01;
555495;90084;Báhoň;2010-01-01;
501034;94654;Bajč;2010-01-01;
501140;94654;Bajč;2010-01-01;
524174;08241;Bajerov;2010-01-01;
524255;08241;Bajerov;2010-01-01;
524701;08241;Bajerov;2010-01-01;
525111;08241;Bajerov;2010-01-01;
525502;08241;Bajerov;2010-01-01;
501450;93004;Baka;2010-01-01;
501671;93004;Baka;2010-01-01;
501964;93004;Baka;2010-01-01;
515868;99111;"Balog nad Ipľom";2010-01-01;
516139;99111;"Balog nad Ipľom";2010-01-01;
503045;94101;"Bánov pri Nových Zámkoch";2010-01-01;
505153;95701;"Bánovce nad Bebravou 1";2010-01-01;
505625;95701;"Bánovce nad Bebravou 1";2010-01-01;
542652;95701;"Bánovce nad Bebravou 1";2010-01-01;
542741;95701;"Bánovce nad Bebravou 1";2010-01-01;
542849;95701;"Bánovce nad Bebravou 1";2010-01-01;
505056;95703;"Bánovce nad Bebravou 1";2010-01-01;
505412;95703;"Bánovce nad Bebravou 1";2010-01-01;
542652;95703;"Bánovce nad Bebravou 1";2010-01-01;
542822;95703;"Bánovce nad Bebravou 1";2010-01-01;
542857;95703;"Bánovce nad Bebravou 1";2010-01-01;
542652;95704;"Bánovce nad Bebravou 1";2010-01-01;
516627;96615;"Banská Belá";2010-01-01;
516643;96615;"Banská Belá";2010-01-01;
516953;96615;"Banská Belá";2010-01-01;
508438;97401;"Banská Bystrica 1";2010-01-01;
508519;97401;"Banská Bystrica 1";2010-01-01;
508543;97401;"Banská Bystrica 1";2010-01-01;
508632;97401;"Banská Bystrica 1";2010-01-01;
508781;97401;"Banská Bystrica 1";2010-01-01;
508969;97401;"Banská Bystrica 1";2010-01-01;
508977;97401;"Banská Bystrica 1";2010-01-01;
509019;97401;"Banská Bystrica 1";2010-01-01;
509035;97401;"Banská Bystrica 1";2010-01-01;
557277;97401;"Banská Bystrica 1";2010-01-01;
557285;97401;"Banská Bystrica 1";2010-01-01;
508438;97411;"Banská Bystrica 11";2010-01-01;
508438;97404;"Banská Bystrica 4";2010-01-01;
508438;97405;"Banská Bystrica 5";2010-01-01;
508454;97405;"Banská Bystrica 5";2010-01-01;
508641;97405;"Banská Bystrica 5";2010-01-01;
580244;97405;"Banská Bystrica 5";2010-01-01;
508438;97409;"Banská Bystrica 9";2010-01-01;
516601;96901;"Banská Štiavnica 1";2010-01-01;
516643;96901;"Banská Štiavnica 1";2010-01-01;
516651;96901;"Banská Štiavnica 1";2010-01-01;
516678;96901;"Banská Štiavnica 1";2010-01-01;
516716;96901;"Banská Štiavnica 1";2010-01-01;
516856;96901;"Banská Štiavnica 1";2010-01-01;
517160;96901;"Banská Štiavnica 1";2010-01-01;
517372;96901;"Banská Štiavnica 1";2010-01-01;
519006;08501;"Bardejov 1";2010-01-01;
519766;08501;"Bardejov 1";2010-01-01;
519006;08631;"Bardejovské kúpele";2010-01-01;
503053;94149;Bardoňovo;2010-01-01;
520021;06723;"Baškovce pri Humennom";2010-01-01;
520110;06723;"Baškovce pri Humennom";2010-01-01;
520233;06723;"Baškovce pri Humennom";2010-01-01;
520900;06723;"Baškovce pri Humennom";2010-01-01;
523402;05935;Batizovce;2010-01-01;
514519;98021;Bátka;2010-01-01;
515698;98021;Bátka;2010-01-01;
515752;98021;Bátka;2010-01-01;
515841;98021;Bátka;2010-01-01;
557854;98021;Bátka;2010-01-01;
557919;98021;Bátka;2010-01-01;
501395;94634;"Bátorove Kosihy";2010-01-01;
502057;93503;Bátovce;2010-01-01;
502219;93503;Bátovce;2010-01-01;
502634;93503;Bátovce;2010-01-01;
505846;91638;Beckov;2010-01-01;
526380;05305;Beharovce;2010-01-01;
526495;05305;Beharovce;2010-01-01;
526517;05305;Beharovce;2010-01-01;
526525;05305;Beharovce;2010-01-01;
543462;05305;Beharovce;2010-01-01;
543471;05305;Beharovce;2010-01-01;
581640;05305;Beharovce;2010-01-01;
519057;08635;Becherov;2010-01-01;
520039;06781;"Belá nad Cirochou";2010-01-01;
512052;03811;"Belá pri Martine";2010-01-01;
517429;01305;"Belá pri Varíne";2010-01-01;
517763;01305;"Belá pri Varíne";2010-01-01;
517771;01305;"Belá pri Varíne";2010-01-01;
500062;95175;Beladice;2010-01-01;
512851;01861;Beluša;2010-01-01;
513776;01861;Beluša;2010-01-01;
508446;97664;Beňuš;2010-01-01;
508462;97664;Beňuš;2010-01-01;
508489;97664;Beňuš;2010-01-01;
507814;90027;Bernolákovo;2010-01-01;
502065;93536;Beša;2010-01-01;
556777;93536;Beša;2010-01-01;
503070;94141;Bešeňov;2010-01-01;
525545;04921;Betliar;2010-01-01;
522325;07253;Bežovce;2010-01-01;
523330;07253;Bežovce;2010-01-01;
522180;04445;Bidovce;2010-01-01;
521141;04445;Bidovce;2010-01-01;
521183;04445;Bidovce;2010-01-01;
521281;04445;Bidovce;2010-01-01;
