St. šk.,Obec,Stredná škola,Ulica
17050367,Košice-Šaca,Stredná odborná škola priemyselných technológii,Učňovská 5
35558555,Košice-Západ,Súkromná škola umeleckého priemyslu filmová,Petzvalova 2
521965,Košice-Západ,Stredná športová škola,Trieda SNP 104
35562986,Košice-Západ,Súkromné gymnázium,Katkin park 2
398900,Košice-Západ,Gymnázium,Trebišovská 12
42243262,Košice-Dargovských hrdinov,Konzervatórium Jozefa Adamoviča,Exnárova 8
31313833,Košice-Dargovských hrdinov,Súkromná stredná odborná škola ekonomicko-technická,Postupimská 37
35560321,Košice-Dargovských hrdinov,Gymnázium sv. Edity Steinovej,Charkovská 1
162141,Košice-Sever,Obchodná akadémia,Watsonova 61
161756,Košice-Sever,Stredná priemyselná škola elektrotechnická,Komenského 44
35531754,Košice-Sever,Gymnázium,Park mládeže 5
42319234,Košice-Staré Mesto,Premonštrátske gymnázium,Kováčska 28
42407362,Košice-Staré Mesto,Súkromné gymnázium FUTURUM,Grešákova 1
618233,Košice-Staré Mesto,Stredná zdravotnícka škola sv. Alžbety,Mäsiarska 25
606766,Košice-Staré Mesto,Stredná zdravotnícka škola,Moyzesova 17
133132,Košice-Staré Mesto,Škola umeleckého priemyslu,Jakobyho 15
35570563,Košice-Staré Mesto,Stredná odborná škola železničná,Palackého 14
161772,Košice-Staré Mesto,Stredná priemyselná škola strojnícka,Komenského 2
162761,Košice-Staré Mesto,Konzervatórium,Timonova 2
161781,Košice-Staré Mesto,Stredná odborná škola technická a ekonomická Jozefa Szakkayho,Grešákova 1
161764,Košice-Staré Mesto,Stredná priemyselná škola stavebná a geodetická,Lermontovova 1
161730,Košice-Staré Mesto,Stredná priemyselná škola dopravná,Hlavná 113
31305288,Košice-Staré Mesto,Evanjelické gymnázium Jána Ámosa Komenského,Škultétyho 10
17078334,Košice-Staré Mesto,Gymnázium sv. Tomáša Akvinského,Zbrojničná 3
161004,Košice-Staré Mesto,Gymnázium s vyučovacím jazykom maďarským,Kuzmányho 6
