St. šk.,Odbor - kod
999999999,0
17050367,2262K00
710275196,2262K00
161357,2381M00
161403,2381M00
161586,2381M00
161594,2381M00
161721,2381M00
161772,2381M00
161845,2381M00
521663,2381M00
17050073,2381M00
30775396,2381M00
36082058,2381M00
42317657,2381M00
45015171,2381M00
51906201,2381M00
161381,2387M00
161578,2387M00
161586,2387M00
161781,2387M00
161802,2387M00
420191,2387M00
521663,2387M00
17050073,2387M00
30775396,2387M00
36082058,2387M00
51906201,2387M00
53948998,2387M00
161381,2411K00
161403,2411K00
351989,2411K00
891452,2411K00
891479,2411K00
891550,2411K00
891649,2411K00
891657,2411K00
893129,2411K00
893137,2411K00
893188,2411K00
17050316,2411K00
17050502,2411K00
17050561,2411K00
17053668,2411K00
17053676,2411K00
17053722,2411K00
37922459,2411K00
42026393,2411K00
42096651,2411K00
42114985,2411K00
45022631,2411K00
710171773,2411K00
710212585,2411K00
710220898,2411K00
710261748,2411K00
710272715,2411K00
891827,2412K00
17053668,2412K00
159352,2413K00
491942,2413K00
517801,2413K00
891452,2413K00
891479,2413K00
891592,2413K00
891657,2413K00
891894,2413K00
893692,2413K00
17050308,2413K00
17050367,2413K00
17050545,2413K00
17050561,2413K00
17053722,2413K00
35568330,2413K00
35570563,2413K00
37942484,2413K00
37942492,2413K00
42026407,2413K00
710275196,2413K00
159026,2414L01
159514,2414L01
351989,2414L01
617750,2414L01
681881,2414L01
695092,2414L01
891452,2414L01
891461,2414L01
891568,2414L01
893129,2414L01
893340,2414L01
17050332,2414L01
17050561,2414L01
17053668,2414L01
17053676,2414L01
17053722,2414L01
17055393,2414L01
31797920,2414L01
35555912,2414L01
35568348,2414L01
37839403,2414L01
37956230,2414L01
42077133,2414L01
42114985,2414L01
42317657,2414L01
42317665,2414L01
42428289,2414L01
50424891,2414L01
53966864,2414L01
710170335,2414L01
710261748,2414L01
17050332,2414L02
158984,2414L04
651117,2414L04
891592,2414L04
893137,2414L04
17055385,2417L00
161772,2426K00
398411,2426K00
891479,2426K00
891541,2426K00
893102,2426K00
17050308,2426K00
17050367,2426K00
17050405,2426K00
17053722,2426K00
37890069,2426K00
37922459,2426K00
37942484,2426K00
37942492,2426K00
42026407,2426K00
42114985,2426K00
50424891,2426K00
710170335,2426K00
710171773,2426K00
710201362,2426K00
710261748,2426K00
893226,2447K00
893251,2447K00
893340,2447K00
893358,2447K00
17055237,2447K00
42077133,2447K00
42141443,2447K00
52375277,2447K00
710261748,2447K00
710280874,2447K00
893471,6432K00
17054281,6432K00
351806,6442K00
351997,6442K00
893111,6442K00
893463,6442K00
893528,6442K00
893544,6442K00
17054222,6442K00
17078482,6442K00
35570172,6442K00
37890115,6442K00
37946773,6442K00
37998676,6442K00
42077133,6442K00
158496,6444K00
158551,6444K00
158623,6444K00
162175,6444K00
596876,6444K00
654302,6444K00
686484,6444K00
695041,6444K00
893412,6444K00
893471,6444K00
893480,6444K00
893552,6444K00
17078385,6444K00
17078482,6444K00
31780466,6444K00
35570172,6444K00
36155993,6444K00
37890115,6444K00
37890221,6444K00
37946773,6444K00
710220871,6444K00
710261705,6444K00
158496,6445K00
158518,6445K00
158551,6445K00
158623,6445K00
596876,6445K00
654302,6445K00
686484,6445K00
686964,6445K00
695041,6445K00
893412,6445K00
893471,6445K00
893480,6445K00
893552,6445K00
17054281,6445K00
17078482,6445K00
17151481,6445K00
31780466,6445K00
31946615,6445K00
35570172,6445K00
36155993,6445K00
37890115,6445K00
45006601,6445K00
710220871,6445K00
710261705,6445K00
158518,6446K00
158569,6446K00
158577,6446K00
159476,6446K00
351806,6446K00
351989,6446K00
352098,6446K00
617750,6446K00
654230,6446K00
654302,6446K00
695041,6446K00
893498,6446K00
11882115,6446K00
17053846,6446K00
17053871,6446K00
17078423,6446K00
17078491,6446K00
17151481,6446K00
31942369,6446K00
37880012,6446K00
37880080,6446K00
37890115,6446K00
37946773,6446K00
37966081,6446K00
42070902,6446K00
42395933,6446K00
710229240,6446K00
710261560,6446K00
710261594,6446K00
710261683,6446K00
42114985,6476L00
710229240,6476L00
710261357,6476L00
42039371,6857M00
30775400,7218M00
30775400,7232M00
30775400,7237M00
36087947,7237M00
