id,Štát
524,Nepálska federatívna demokratická republika
528,Holandské kráľovstvo
533,Aruba
534,Svätý Martin (holandská časť)
535,"Bonaire, Svätý Eustach a Saba"
540,Nová Kaledónia
548,Vanuatská republika
554,Nový Zéland
558,Nikaragujská republika
562,Nigerská republika
566,Nigérijská federatívna republika
570,Niue
574,Teritórium ostrova Norfolk
578,Nórske kráľovstvo
580,Spoločenstvo ostrovov Severné Mariány
581,Menšie odľahlé ostrovy Spojených štátov
583,Mikronézske federatívne štáty
584,Republika Marshallových ostrovov
585,Palauská republika
586,Pakistanská islamská republika
591,Panamská republika
598,Papua-Nová Guinea
600,Paraguajská republika
604,Peruánska republika
608,Filipínska republika
612,Pitcairnove ostrovy
616,Poľská republika
620,Portugalská republika
624,Guinejsko-bissauská republika
626,Východotimorská demokratická republika
630,Portorické spoločenstvo
634,Katarský štát
638,Réunion
642,Rumunsko
643,Ruská federácia
646,Rwandská republika
652,Svätý Bartolomej
654,"Svätá Helena, Ascension a Tristan da Cunha"
659,Federácia Svätého Krištofa a Nevisu
660,Anguilla
662,Svätá Lucia
663,Svätý Martin
666,Saint Pierre a Miquelon
670,Svätý Vincent a Grenadíny
674,Sanmarínska republika
678,Demokratická republika Svätého Tomáša a Princovho ostrova
682,Saudskoarabské kráľovstvo
686,Senegalská republika
688,Srbská republika
690,Seychelská republika
694,Sierraleonská republika
702,Singapurská republika
703,Slovenská republika
704,Vietnamská socialistická republika
705,Slovinská republika
706,Somálska federatívna republika
710,Juhoafrická republika
716,Zimbabwianska republika
724,Španielske kráľovstvo
728,Juhosudánska republika
729,Sudánska republika
732,Západná Sahara
740,Surinamská republika
744,Svalbard a Jan Mayen
748,Svazijské kráľovstvo
752,Švédske kráľovstvo
756,Švajčiarska konfederácia
760,Sýrska arabská republika
762,Tadžická republika
764,Thajské kráľovstvo
768,Togská republika
772,Tokelauské ostrovy
776,Tongské kráľovstvo
780,Republika Trinidadu a Tobaga
784,Spojené arabské emiráty
788,Tuniská republika
792,Turecká republika
795,Turkménsko
796,Ostrovy Turks a Caicos
798,Tuvalu
800,Ugandská republika
804,Ukrajina
807,Macedónska republika
818,Egyptská arabská republika
826,Spojené kráľovstvo Veľkej Británie a Severného ĺrska
831,Guernsey
832,Jernsey
833,"Ostrov Man, korunná dependencia"
834,Tanzánijská zjednotená republika
840,Spojené štáty americké
850,Panenské ostrovy Spojených štátov
854,Burkina Faso
858,Uruguajská východná republika
860,Uzbecká republika
862,Venezuelská bolívarovská republika
876,Wallis a Futuna
882,Samojský nezávislý štát
887,Jemenská republika
894,Zambijská republika
4,Afganská islamská republika
8,Albánska republika
10,Antarktída
12,Alžírska demokratická ľudová republika
16,Teritórium Americkej Samoy
20,Andorrské kniežatstvo
24,Angolská republika
28,Antigua a Barbuda
31,Azerbajdžanská republika
32,Argentínska republika
36,Austrálsky zväz
40,Rakúska republika
44,Bahamské spoločenstvo
48,Bahrajnské kráľovstvo
50,Bangladéšska ľudová republika
51,Arménska republika
52,Barbados
56,Belgické kráľovstvo
60,Bermudy
64,Bhutánske kráľovstvo
68,Bolívijský mnohonárodný štát
70,Bosna a Hercegovina
72,Botswanská republika
74,Bouvetov ostrov
76,Brazílska federatívna republika
84,Belize
86,Britské indickooceánske územie
90,Šalamúnove ostrovy
92,Britské Panenské ostrovy
96,Brunejsko-darussalamský štát
100,Bulharská republika
104,Mjanmarská zväzová republika
108,Burundská republika
112,Bieloruská republika
116,Kambodžské kráľovstvo
120,Kamerunská republika
124,Kanada
132,Kapverdská republika
136,Kajmanie ostrovy
140,Stredoafrická republika
144,Srílanská demokratická socialistická republika
148,Čadská republika
152,Čilská republika
156,Čínska ľudová republika
158,Čínska republika
162,Teritórium Vianočného ostrova
166,Teritórium Kokosových ostrovov
170,Kolumbijská republika
174,Komorský zväz
175,Mayotte
178,Konžská republika
180,Konžská demokratická republika
184,Cookove ostrovy
188,Kostarická republika
191,Chorvátska republika
192,Kubánska republika
196,Cyperská republika
203,Česká republika
204,Beninská republika
208,Dánske kráľovstvo
212,Dominické spoločenstvo
214,Dominikánska republika
218,Ekvádorská republika
222,Salvádorská republika
226,Republika Rovníkovej Guiney
231,Etiópska federatívna demokratická republika
232,Eritrejský štát
233,Estónska republika
234,Faerské ostrovy
238,Falklandské ostrovy
239,Južná Georgia a Južné Sandwichove ostrovy
242,Fidžijská republika
246,Fínska republika
248,Alandy
250,Francúzska republika
254,Francúzska Guyana
258,Francúzska Polynézia
260,Francúzske južné a antarktické územia
262,Džibutská republika
266,Gabonská republika
268,Gruzínsko
270,Gambijská republika
275,Palestínska národná samospráva
276,Nemecká spolková republika
288,Ghanská republika
292,Gibraltár
296,Kiribatská republika
300,Grécka republika
304,Grónsko
308,Grenada
312,Guadeloup
316,Guamské teritórium
320,Guatemalská republika
324,Guinejská republika
328,Guyanská kooperatívna republika
332,Haitská republika
334,Teritórium Heardovho ostrova a Macdonaldových ostrovov
336,Svätá Stolica (Vatikánsky mestský štát)
340,Honduraská republika
344,Hongkong
348,Maďarsko
352,Islandská republika
356,Indická republika
360,Indonézska republika
364,Iránska islamská republika
368,Iracká republika
372,Írsko
376,Izraelský štát
380,Talianska republika
384,Republika Pobrežia slonoviny
388,Jamajka
392,Japonsko
398,Kazašská republika
400,Jordánske hášimovské kráľovstvo
404,Kenská republika
408,Kórejská ľudovodemokratická republika
410,Kórejská republika
414,Kuvajtský štát
417,Kirgizská republika
418,Laoská ľudovodemokratická republika
422,Libanonská republika
426,Lesothské kráľovstvo
428,Lotyšská republika
430,Libérijská republika
434,Líbya
438,Lichtenštajnské kniežatstvo
440,Litovská republika
442,Luxemburské veľkovojvodstvo
446,Macao
450,Madagaskarská republika
454,Malawijská republika
458,Malajzia
462,Maldivská republika
466,Malijská republika
470,Maltská republika
474,Martinik
478,Mauritánska islamská republika
480,Maurícijská republika
484,Spojené štáty mexické
492,Monacké kniežatstvo
496,Mongolsko
498,Moldavská republika
499,Čierna Hora
500,Montserrat
504,Marocké kráľovstvo
508,Mozambická republika
512,Ománsky sultanát
516,Namíbijská republika
520,Nauruská republika
531,Curacao
